epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,635.504,2.30377,20.8239,0.01225,0.0017,0.5187,0.01227,0.00492,1.71495,10.1587,0.01214,0.000540231,0.000540231,0.000540231
2,1289.03,2.44993,5.97392,0.01455,0.0543,0.07895,0.05163,0.01681,1.99218,5.01611,0.01807,0.000987404,0.000987404,0.000987404
3,1947.45,2.60176,3.52153,0.01846,0.14145,0.07961,0.03794,0.00862,2.40193,4.50823,0.02163,0.00132455,0.00132455,0.00132455
4,2741.65,2.6878,3.28839,0.01814,0.15196,0.13024,0.09738,0.03108,2.21163,9.20978,0.02049,0.0011719,0.0011719,0.0011719
5,3639.4,2.63949,3.36979,0.01954,0.06693,0.04386,0.02097,0.00484,2.35167,4.72528,0.02799,0.00100687,0.00100687,0.00100687
6,4432.87,2.53354,3.14929,0.01772,0.69922,0.15789,0.14044,0.03597,2.20647,2.88424,0.01844,0.000841835,0.000841835,0.000841835
7,5069.84,2.45474,2.74484,0.01781,0.73693,0.17544,0.16609,0.06025,2.03005,2.77285,0.01904,0.000676802,0.000676802,0.000676802
8,5726.53,2.46041,2.5542,0.01547,0.71137,0.18421,0.17265,0.04548,2.05238,2.40705,0.01683,0.000511769,0.000511769,0.000511769
9,6350.55,2.3253,2.48824,0.01683,0.77696,0.19298,0.22425,0.07176,2.03263,2.30824,0.01798,0.000346736,0.000346736,0.000346736
10,6985.19,2.28555,2.35214,0.01485,0.8114,0.21053,0.23015,0.07812,1.95683,2.19429,0.01747,0.000181703,0.000181703,0.000181703
