epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.671,2.44547,7.40467,0.00573,0.051,0.10526,0.04184,0.01633,2.13501,3.66906,0.00447,0.00034,0.00034,0.00034
2,667.104,2.24607,4.04172,0.00483,0.07082,0.19298,0.10267,0.03152,2.43796,2.77524,0.00482,0.0006307,0.0006307,0.0006307
3,1013.22,2.16866,2.92611,0.00468,0.33139,0.24561,0.22046,0.066,2.29433,2.45627,0.0051,0.00085012,0.00085012,0.00085012
4,1395.72,2.30431,2.60979,0.00475,0.23756,0.38596,0.24155,0.07388,2.34532,2.32072,0.00492,0.00099826,0.00099826,0.00099826
5,1858.88,2.28875,2.39865,0.00503,0.46018,0.31579,0.30907,0.09131,2.35638,2.32057,0.00471,0.00107512,0.00107512,0.00107512
6,2339.6,2.32788,2.45186,0.00528,0.53771,0.2807,0.32695,0.1166,2.39506,2.11387,0.00488,0.00101,0.00101,0.00101
7,2736.92,2.31293,2.2809,0.00518,0.55958,0.35088,0.41067,0.13815,2.39511,2.14205,0.005,0.000812,0.000812,0.000812
8,3084.86,2.26033,2.14018,0.00471,0.72985,0.33333,0.44087,0.14477,2.38469,1.87631,0.00475,0.000614,0.000614,0.000614
9,3415.47,2.08715,1.84409,0.00447,0.56929,0.40351,0.43041,0.1417,2.35371,1.77688,0.00468,0.000416,0.000416,0.000416
10,3768.75,2.05207,1.89203,0.0042,0.61714,0.42426,0.4712,0.14969,2.27144,1.72676,0.00449,0.000218,0.000218,0.000218
